time,angle,velocity
6212652,48.13,11.22
6222652,48.25,11.22
6232652,48.37,12.34
6242652,48.49,12.34
6252652,48.62,12.34
6262652,48.74,12.34
6272652,48.86,12.34
6282652,48.99,12.34
6292652,49.12,13.46
6302652,49.24,12.34
6312652,49.37,12.34
6322652,49.49,12.34
6332652,49.61,12.34
6342652,49.74,12.34
6352652,49.86,12.34
6362652,49.97,11.22
6372652,50.09,11.22
6382652,50.21,12.34
6392652,50.32,11.22
6402652,50.44,12.34
6412652,50.56,11.22
6422652,50.67,11.22
6432652,50.79,12.34
6442652,50.91,11.22
6452652,51.03,12.34
6462652,51.15,12.34
6472652,51.28,12.34
6482652,51.40,12.34
6492652,51.52,12.34
6502652,51.63,11.22
6512652,51.77,13.46
6522653,51.89,12.34
6532652,52.02,12.34
6542652,52.13,11.22
6552652,52.26,13.46
6562652,52.37,11.22
6572652,52.50,12.34
6582652,52.62,12.34
6592652,52.75,12.34
6602652,52.87,12.34
6612652,52.98,11.22
6622652,53.10,12.34
6632652,53.23,12.34
6642652,53.34,11.22
6652652,53.46,12.34
6662652,53.59,12.34
6672652,53.70,11.22
6682652,53.81,11.22
6692652,53.93,12.34
6702652,54.05,11.22
6712652,54.16,11.22
6722652,54.27,11.22
6732652,54.38,11.22
6742655,54.51,12.34
6752652,54.62,11.22
6762652,54.73,11.22
6772652,54.87,13.46
6782652,54.98,11.22
6792652,55.11,13.46
6802652,55.24,12.34
6812652,55.36,12.34
6822652,55.49,13.46
6832652,55.62,12.34
6842652,55.74,12.34
6852652,55.86,12.34
6862652,55.99,12.34
6872652,56.11,12.34
6882652,56.22,11.22
6892652,56.35,12.34
6902652,56.46,11.22
6912652,56.57,11.22
6922652,56.68,11.22
6932652,56.81,12.34
6942652,56.92,11.22
6952652,57.04,12.34
6962652,57.15,11.22
6972652,57.28,12.34
6982652,57.40,12.34
6992652,57.52,12.34
7002652,57.65,12.34
7012652,57.77,12.34
7022652,57.90,12.34
7032652,58.02,12.34
7042652,58.14,12.34
7052652,58.27,12.34
7062652,58.39,12.34
7072652,58.51,12.34
7082652,58.64,12.34
7092652,58.76,12.34
7102652,58.88,12.34
7112652,58.99,11.22
7122652,59.12,12.34
7132652,59.24,12.34
7142652,59.36,12.34
7152652,59.49,12.34
7162652,59.60,11.22
7172652,59.72,12.34
7182652,59.85,12.34
7192652,59.96,11.22
7202652,60.07,11.22
7212652,60.20,12.34
7222652,60.31,11.22
7232652,60.42,11.22
7242652,60.53,11.22
7252652,60.64,11.22
7262652,60.77,12.34
7272652,60.88,11.22
7282652,60.99,11.22
7292652,61.12,12.34
7302652,61.24,12.34
7312652,61.37,13.46
7322652,61.50,12.34
7332652,61.62,12.34
7342652,61.75,13.46
7352652,61.88,12.34
7362652,62.00,12.34
7372652,62.12,12.34
7382652,62.25,12.34
7392652,62.37,12.34
7402652,62.48,11.22
7412652,62.61,12.34
7422652,62.72,11.22
7432652,62.83,11.22
7442652,62.96,12.34
7452652,63.07,11.22
7462652,63.19,12.34
7472652,63.30,11.22
7482652,63.43,12.34
7492652,63.55,12.34
7502652,63.66,11.22
7512652,63.80,13.46
7522652,63.91,11.22
7532652,64.04,13.46
7542652,64.16,11.22
7552652,64.29,13.46
7562655,64.41,12.34
7572652,64.54,12.35
7582652,64.66,12.34
7592652,64.78,12.34
7602652,64.90,11.22
7612652,65.03,13.46
7622652,65.14,11.22
7632652,65.27,12.34
7642652,65.39,12.34
7652652,65.50,11.22
7662652,65.63,12.34
7672652,65.75,12.34
7682652,65.87,12.34
7692652,66.00,12.34
7702652,66.11,11.22
7712656,66.23,12.34
7722652,66.34,11.22
7732652,66.47,12.34
7742652,66.58,11.22
7752652,66.69,11.22
7762652,66.80,11.22
7772652,66.92,11.22
7782652,67.03,11.22
7792652,67.14,11.22
7802652,67.25,11.22
7812652,67.39,13.46
7822652,67.51,12.34
7832652,67.63,12.34
7842652,67.76,12.34
7852652,67.88,12.34
7862652,68.02,13.46
7872652,68.14,12.34
7882652,68.26,12.34
7892652,68.39,12.34
7902652,68.51,12.34
7912652,68.63,12.34
7922652,68.76,12.34
7932652,68.87,11.22
7942652,68.98,11.22
7952652,69.09,11.22
7962652,69.22,12.34
7972652,69.33,11.22
7982652,69.45,12.34
7992652,69.56,11.22
8002652,69.69,12.34
8012652,69.81,12.34
8022652,69.92,11.22
8032652,70.05,12.34
8042652,70.17,12.34
8052652,70.29,12.34
8062652,70.42,12.34
8072652,70.54,12.34
8082652,70.66,12.34
8092652,70.79,12.34
8102652,70.91,12.34
8112652,71.03,12.34
8122652,71.16,12.34
8132652,71.28,12.34
8142652,71.40,12.34
8152652,71.52,11.22
8162652,71.64,12.34
8172652,71.76,12.34
8182652,71.88,11.22
8192652,72.00,12.34
8202652,72.12,12.34
8212652,72.23,11.22
8222652,72.36,12.34
8232652,72.48,12.34
8242652,72.59,11.22
8252652,72.71,11.22
8262652,72.83,12.34
8272652,72.94,11.22
8282652,73.05,11.22
8292652,73.17,11.22
8302652,73.28,11.22
8312652,73.39,11.22
8322652,73.51,12.34
8332652,73.63,11.22
8342652,73.76,13.46
8352652,73.88,12.34
8362652,74.01,12.34
8372652,74.13,12.34
8382652,74.25,12.34
8392652,74.39,13.46
8402652,74.51,12.34
8412652,74.64,12.34
8422652,74.76,12.34
8432652,74.88,12.34
8442652,74.99,11.22
8452652,75.12,12.34
8462652,75.23,11.22
8472652,75.34,11.22
8482652,75.47,12.34
8492652,75.58,11.22
8502652,75.69,11.22
8512652,75.81,12.34
8522652,75.93,11.22
8532652,76.05,12.34
8542652,76.16,11.22
8552652,76.30,13.46
8562652,76.41,11.22
8572652,76.53,12.34
8582652,76.65,12.34
8592652,76.78,12.34
8602652,76.90,12.34
8612652,77.03,12.34
8622652,77.15,12.34
8632652,77.27,12.34
8642652,77.40,12.34
8652652,77.52,12.34
8662652,77.64,12.34
8672652,77.77,12.34
8682652,77.89,12.34
8692652,78.00,11.22
8702652,78.12,12.34
8712652,78.25,12.34
8722652,78.37,12.34
8732652,78.48,11.22
8742652,78.61,12.34
8752652,78.72,11.22
8762652,78.84,12.34
8772652,78.97,12.34
8782652,79.08,11.22
8792652,79.19,11.22
8802652,79.30,11.22
8812652,79.41,11.22
8822652,79.53,11.22
8832652,79.64,11.22
8842652,79.75,11.22
8852652,79.87,12.34
8862652,80.00,12.34
8872652,80.13,13.46
8882652,80.26,12.34
8892652,80.38,12.34
8902652,80.51,13.46
8912652,80.64,12.34
8922652,80.76,12.34
8932652,80.88,12.34
8942652,81.01,12.34
8952652,81.13,12.34
8962652,81.26,12.34
8972652,81.37,11.22
8982652,81.48,11.22
8992652,81.60,12.34
9002652,81.72,11.22
9012652,81.83,11.22
9022652,81.95,12.34
9032652,82.06,11.22
9042652,82.18,11.22
9052652,82.30,12.34
9062652,82.42,12.34
9072652,82.53,11.22
9082652,82.66,12.34
9092652,82.78,12.34
9102652,82.90,12.34
9112652,83.03,12.34
9122652,83.15,12.34
9132652,83.27,12.34
9142652,83.40,12.34
9152652,83.52,12.34
9162652,83.64,12.34
9172652,83.77,12.34
9182652,83.88,11.22
9192652,84.00,12.34
9202652,84.13,12.34
9212652,84.25,12.34
9222652,84.37,12.34
9232652,84.49,11.22
9242652,84.61,12.34
9252652,84.73,12.34
9262652,84.85,11.22
9272652,84.97,12.34
9282652,85.08,11.22
9292652,85.20,12.34
9302652,85.32,11.22
9312652,85.43,11.22
9322652,85.54,11.22
9332652,85.65,11.22
9342652,85.77,11.22
9352652,85.88,11.22
9362652,86.00,12.34
9372652,86.11,11.22
9382652,86.24,12.34
9392652,86.37,13.46
9402655,86.49,12.34
9412652,86.62,12.35
9422652,86.74,12.34
9432652,86.87,12.34
9442652,87.00,13.46
9452652,87.12,12.34
9462652,87.25,12.34
9472652,87.37,12.34
9482652,87.49,12.34
9492652,87.61,11.22
9502652,87.72,11.22
9512652,87.84,12.34
9522652,87.95,11.22
9532652,88.08,12.34
9542652,88.19,11.22
9552652,88.30,11.22
9562652,88.42,12.34
9572652,88.55,12.34
9582652,88.66,11.22
9592652,88.78,12.34
9602652,88.91,12.34
9612652,89.03,12.34
9622652,89.15,12.34
9632652,89.28,12.34
9642652,89.40,12.34
9652652,89.52,12.34
9662652,89.65,12.34
9672652,89.77,12.34
9682652,89.89,12.34
9692652,90.02,12.34
9702652,90.14,12.34
9712652,90.25,11.22
9722652,90.38,12.34
9732652,90.50,12.34
9742652,90.62,12.34
9752652,90.75,12.34
9762652,90.86,11.22
9772652,90.98,12.34
9782652,91.11,12.34
9792652,91.22,11.22
9802652,91.34,12.34
9812652,91.45,11.22
9822652,91.58,12.34
9832652,91.69,11.22
9842652,91.80,11.22
9852652,91.91,11.22
9862652,92.03,11.22
9872652,92.14,11.22
9882652,92.25,11.22
9892652,92.37,12.34
9902652,92.50,12.34
9912652,92.62,12.34
9922652,92.74,12.34
9932652,92.87,12.34
9942652,93.00,13.46
9952652,93.13,12.34
9962652,93.25,12.34
9972652,93.37,12.34
9982652,93.51,13.46
9992652,93.62,11.22
10002652,93.74,12.34
10012652,93.87,12.34
10022652,93.98,11.22
10032652,94.09,11.22
10042652,94.20,11.22
10052652,94.33,12.34
10062652,94.44,11.22
10072652,94.55,11.22
10082652,94.67,12.34
10092652,94.79,11.22
10102652,94.91,12.34
10112652,95.03,12.34
10122652,95.15,11.22
10132652,95.27,12.34
10142652,95.39,12.34
10152652,95.52,12.34
10162652,95.64,12.34
10172652,95.76,12.34
10182652,95.89,12.34
10192652,96.01,12.34
10202652,96.13,12.34
10212652,96.26,12.34
10222652,96.38,12.34
10232652,96.50,12.34
10242652,96.63,12.34
10252652,96.74,11.22
10262652,96.86,12.34
10272652,96.99,12.34
10282652,97.10,11.22
10292652,97.22,12.34
10302652,97.34,12.34
10312652,97.46,11.22
10322652,97.58,12.34
10332652,97.69,11.22
10342652,97.82,12.34
10352652,97.93,11.22
10362652,98.04,11.22
10372652,98.15,11.22
10382652,98.26,11.22
10392652,98.38,11.22
10402652,98.49,11.22
